Uniprot Accession;Description;Gene name;IBAQ Amount in Ref2824 , fmol/ug yeast protein;Abundance Ratio: (S1) / (Ref2824);Abundance Ratio: (S2) / (Ref2824);Abundance Ratio: (S3) / (Ref2824);Abundance Ratio: (S4) / (Ref2824);Abundance Ratio: (S5) / (Ref2824);Abundance Ratio: (S6) / (Ref2824);Sequence Coverage [%];Identified Peptides;PSMs;Identified Unique Peptides;MW [kDa]
P00925;Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO2 PE=1 SV=2;ENO2;3,49E+02;2,706;2,538;2,567;2,67;2,492;2,472;64;20;378;9;46,9
P00560;Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGK1 PE=1 SV=2;PGK1;3,01E+02;2,816;2,693;2,798;2,858;2,614;2,671;78;25;274;25;44,7
P00359;Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH3 PE=1 SV=3;TDH3;1,34E+02;7,981;7,834;7,624;6,309;6,968;7,066;67;19;244;3;35,7
P00358;Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH2 PE=1 SV=3;TDH2;;4,17;3,821;4,129;2,731;3,149;3,077;67;19;240;3;35,8
P07259;Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA2 PE=1 SV=5;URA2;9,70E+00;0,931;0,944;0,934;0,914;0,883;0,9;48;94;239;91;244,9
P02994;Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TEF1 PE=1 SV=1;TEF2.TEF1;3,11E+02;1,793;1,779;1,79;2,296;2,012;1,981;59;20;238;20;50
P00549;Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC19 PE=1 SV=2;CDC19;1,60E+02;3,123;3,073;2,996;3,325;3,051;3,043;77;27;237;26;54,5
P00330;Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5;ADH1;2,70E+02;4,133;3,857;3,779;2,736;1,583;1,5;67;18;229;11;36,8
P32324;Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EFT1 PE=1 SV=1;EFT2.EFT1;6,72E+01;1,466;1,5;1,418;1,674;1,64;1,678;49;35;222;35;93,2
P19097;Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAS2 PE=1 SV=2;FAS2;9,72E+00;1,064;1,1;1,082;1,332;1,374;1,374;49;80;221;80;206,8
Q00955;Acetyl-CoA carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACC1 PE=1 SV=2;ACC1;7,45E+00;1,104;1,149;1,136;1,279;1,276;1,297;54;95;209;90;250,2
P07149;Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAS1 PE=1 SV=2;FAS1;1,31E+01;1,047;1,079;1,053;1,287;1,313;1,304;42;69;203;69;228,5
P16521;Elongation factor 3A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YEF3 PE=1 SV=4;YEF3;6,57E+01;1,445;1,466;1,409;1,665;1,607;1,632;46;38;194;28;115,9
P10592;Heat shock protein SSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA2 PE=1 SV=3;SSA2;7,29E+01;3,482;3,387;3,175;3,725;3,517;3,471;62;30;183;8;69,4
P00924;Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO1 PE=1 SV=3;ENO1;2,11E+02;2,318;1,944;2,051;1,899;1,711;1,995;58;19;183;8;46,8
P00360;Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH1 PE=1 SV=3;TDH1;9,76E+01;10,007;6,578;7,635;5,909;6,761;7,872;73;21;183;10;35,7
P15108;ATP-dependent molecular chaperone HSC82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSC82 PE=1 SV=4;HSC82;7,35E+01;1,642;1,679;1,599;1,747;1,853;1,827;48;33;176;7;80,9
P05694;5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET6 PE=1 SV=4;MET6;4,51E+01;2,419;2,437;2,364;0,89;0,771;0,812;51;34;169;34;85,8
P02829;ATP-dependent molecular chaperone HSP82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP82 PE=1 SV=1;HSP82;6,26E+01;1,491;1,488;1,378;1,537;1,621;1,592;48;32;168;6;81,4
P10591;Heat shock protein SSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA1 PE=1 SV=4;SSA1;7,65E+01;1,948;1,814;1,846;1,839;1,806;1,844;61;29;164;6;69,6
P05030;Plasma membrane ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMA1 PE=1 SV=2;PMA1;7,93E+01;1,469;1,519;1,48;1,293;1,281;1,304;33;23;164;23;99,6
P05750;40S ribosomal protein S3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS3 PE=1 SV=5;RPS3;9,33E+01;1,097;1,083;1,067;1,269;1,202;1,227;66;14;158;14;26,5
P17255;V-type proton ATPase catalytic subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA1 PE=1 SV=3;VMA1;1,07E+01;1,848;1,851;1,784;1,89;1,854;1,9;55;51;156;51;118,6
P11484;Ribosome-associated molecular chaperone SSB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSB1 PE=1 SV=3;SSB1;1,06E+02;5,32;5,697;5,472;7,687;6,886;6,654;46;23;148;2;66,6
P40150;Ribosome-associated molecular chaperone SSB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSB2 PE=1 SV=2;SSB2;1,06E+02;12,577;14,088;13,09;19,327;17,409;16,997;46;23;147;2;66,6
P06169;Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDC1 PE=1 SV=7;PDC1;8,00E+01;2,581;2,815;2,522;2,838;2,899;2,94;47;19;143;15;61,5
P07262;NADP-specific glutamate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GDH1 PE=1 SV=2;GDH1;8,15E+01;1,116;1,191;1,097;0,444;0,394;0,422;69;24;136;18;49,5
P37291;Serine hydroxymethyltransferase, cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHM2 PE=1 SV=2;SHM2;1,15E+02;2,018;2,034;1,964;1,586;1,453;1,453;57;25;135;24;52,2
P14540;Fructose-bisphosphate aldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FBA1 PE=1 SV=3;FBA1;6,63E+01;4,677;4,832;4,809;4,599;4,448;4,69;55;11;132;11;39,6
P16861;ATP-dependent 6-phosphofructokinase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFK1 PE=1 SV=1;PFK1;9,04E+00;2,673;2,743;2,732;2,669;2,595;2,66;47;40;131;39;107,9
P06105;Protein SCP160 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCP160 PE=1 SV=3;SCP160;6,06E+00;1,56;1,559;1,545;1,855;1,846;1,861;49;54;131;54;134,7
P14126;60S ribosomal protein L3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL3 PE=1 SV=4;RPL3;6,83E+01;1,04;1,036;0,991;1,203;1,138;1,119;51;19;130;19;43,7
Q12680;Glutamate synthase [NADH] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLT1 PE=1 SV=2;GLT1;2,44E+00;1,305;1,319;1,25;0,701;0,639;0,603;42;74;130;73;238
P12709;Glucose-6-phosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGI1 PE=1 SV=3;PGI1;8,72E+01;1,061;0,974;0,976;1,07;0,913;1;52;21;116;21;61,3
P16862;ATP-dependent 6-phosphofructokinase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFK2 PE=1 SV=4;PFK2;8,75E+00;1,569;1,6;1,603;1,712;1,638;1,679;42;34;115;33;104,6
P07245;C-1-tetrahydrofolate synthase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE3 PE=1 SV=1;ADE3;5,02E+00;2,076;2,167;2,12;1,571;1,54;1,537;62;43;112;41;102,1
P16474;78 kDa glucose-regulated protein homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAR2 PE=1 SV=1;KAR2;7,50E+00;2,484;2,417;2,418;2,56;2,834;2,726;46;28;111;25;74,4
P00331;Alcohol dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH2 PE=1 SV=3;ADH2;1,38E+02;0,038;0,064;0,049;0,084;0,079;0,101;25;8;109;2;36,7
P06168;Ketol-acid reductoisomerase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV5 PE=1 SV=1;ILV5;4,95E+01;1,319;1,224;1,237;0,683;0,647;0,65;56;15;109;15;44,3
P10659;S-adenosylmethionine synthase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAM1 PE=1 SV=2;SAM1;3,74E+01;2,596;2,847;2,632;1,606;1,426;1,433;56;18;108;7;41,8
Q03434;Transposon Ty1-ML2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-ML2 PE=3 SV=2;TY1B-ML2;;;;;;;;38;52;106;0;198,4
P32589;Heat shock protein homolog SSE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSE1 PE=1 SV=4;SSE1;1,98E+01;1,954;2,001;1,937;2,075;2,117;2,119;60;33;106;28;77,3
Q12273;Transposon Ty1-OL Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-OL PE=3 SV=1;TY1B-OL;3,26E+00;0,673;0,696;0,7;0,554;0,621;0,568;38;52;105;1;198,5
