Accession;Description;Coverage_%;Peptides;PSMs;Unique_Peptides;MW_kDa;Rich_1;Rich_2;Rich_3;Min_1;Min_2;Min_3
P07259;Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA2 PE=1 SV=5;41;97;249;94;244,9;1,297;1,29;1,072;1,239;1,175;1,047
P00560;Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGK1 PE=1 SV=2;67;33;235;33;44,7;1,044;1,021;1,152;1,126;1,068;1,311
P15108;ATP-dependent molecular chaperone HSC82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSC82 PE=1 SV=4;51;44;233;8;80,9;2,152;1,847;0,998;1,373;1,318;0,867
Q00955;Acetyl-CoA carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACC1 PE=1 SV=2;39;94;228;89;250,2;1,159;1,155;1,074;0,924;0,899;0,811
P00925;Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO2 PE=1 SV=2;64;30;211;15;46,9;1,616;1,542;1,48;1,644;1,475;1,5
P02829;ATP-dependent molecular chaperone HSP82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP82 PE=1 SV=1;48;43;209;7;81,4;1,37;1,279;0,864;0,979;0,874;0,75
P32324;Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EFT1 PE=1 SV=1;55;48;207;48;93,2;1,399;1,386;1,165;1,196;1,086;1,049
P16521;Elongation factor 3A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YEF3 PE=1 SV=4;41;49;207;36;115,9;1,228;1,2;0,895;1,025;0,9;0,781
P19097;Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAS2 PE=1 SV=2;43;83;205;83;206,8;1,056;1,043;0,859;0,727;0,721;0,693
P05030;Plasma membrane ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMA1 PE=1 SV=2;34;35;166;35;99,6;1,014;1,013;0,938;1,095;1,157;0,976
P07149;Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAS1 PE=1 SV=2;31;62;163;62;228,5;0,981;0,97;0,803;0,721;0,688;0,605
P00549;Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC19 PE=1 SV=2;57;33;158;31;54,5;1,901;1,88;1,548;1,771;2,185;2,255
P11484;Ribosome-associated molecular chaperone SSB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSB1 PE=1 SV=3;53;35;145;2;66,6;3,463;3,645;2,38;3,24;3,015;3,532
P40150;Ribosome-associated molecular chaperone SSB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSB2 PE=1 SV=2;53;35;144;2;66,6;1,15;1,305;1,063;1,064;1,219;2,054
P10592;Heat shock protein SSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA2 PE=1 SV=3;57;39;144;8;69,4;1,949;1,309;1,44;1,488;1,281;1,198
P05694;5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET6 PE=1 SV=4;51;40;141;40;85,8;0,297;0,323;0,31;1,815;2,13;2,372
P02994;Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TEF1 PE=1 SV=1;56;30;138;30;50;1,21;1,215;1,203;1,143;1,247;1,413
P14126;60S ribosomal protein L3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL3 PE=1 SV=4;57;30;135;30;43,7;1,636;1,628;2,847;1,54;1,78;2,096
P10591;Heat shock protein SSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA1 PE=1 SV=4;55;36;133;5;69,6;0,497;0,349;0,44;0,383;0,285;0,298
P05750;40S ribosomal protein S3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS3 PE=1 SV=5;75;20;128;20;26,5;1,596;1,55;1,525;1,322;1,255;1,097
